0	9	0.31	0.09	0.02	0	0.08	 177	0.22
1	2	0.07	0.02	0	0	0.08	 26	0.03
2	2	0.07	0.02	0	0	0.07	 0	0
3	3	0.1	0.03	0.01	0	0.08	 127	0.16
4	3	0.1	0.03	0.01	0	0.07	 79	0.1
5	1	0.03	0.01	0	0	0.06	 0	0
6	1	0.03	0.01	0	0	0.06	 0	0
7	3	0.1	0.03	0.01	0	0.06	 21	0.03
8	2	0.07	0.02	0	0	0.06	 19	0.02
9	3	0.1	0.03	0.01	0	0.06	 91	0.11
10	1	0.03	0.01	0	0	0.06	 0	0
11	2	0.07	0.02	0	0	0.07	 40	0.05
12	4	0.14	0.04	0.01	0	0.07	 91	0.11
13	3	0.1	0.03	0.01	0	0.05	 53	0.07
14	5	0.17	0.05	0.01	0	0.08	 103	0.13
15	2	0.07	0.02	0	0	0.05	 0	0
16	2	0.07	0.02	0	0	0.07	 68	0.08
17	3	0.1	0.03	0.01	0	0.07	 89	0.11
18	4	0.14	0.04	0.01	0	0.06	 32	0.04
19	2	0.07	0.02	0	0	0.06	 0	0
20	2	0.07	0.02	0	0	0.07	 0	0
21	2	0.07	0.02	0	0	0.04	 4	0
22	2	0.07	0.02	0	0	0.05	 8	0.01
23	4	0.14	0.04	0.01	0	0.06	 64	0.08
24	2	0.07	0.02	0	0	0.05	 0	0
25	4	0.14	0.04	0.01	0	0.06	 37	0.05
26	3	0.1	0.03	0.01	0	0.06	 23	0.03
27	2	0.07	0.02	0	0	0.06	 6	0.01
28	1	0.03	0.01	0	0	0.05	 0	0
29	3	0.1	0.03	0.01	0	0.05	 11	0.01
